complaint_id,complaint,complaints_type,label
74,I wish to complain about a Education advertisement that technical implementation issues. This was seen recently and requires investigation.,other,0
75,I wish to complain about a Entertainment advertisement that exaggerated performance claims. This was seen recently and requires investigation.,misleading,1
76,I wish to complain about a Food & Beverage advertisement that offensive cultural references. This was seen recently and requires investigation.,taste and decency,5
77,I wish to complain about a Food & Beverage advertisement that inappropriate product promotion to children. This was seen recently and requires investigation.,children issues,4
78,I wish to complain about a Healthcare advertisement that placement in children's content. This was seen recently and requires investigation.,placement,3
79,I wish to complain about a Electronics advertisement that general advertising standards. This was seen recently and requires investigation.,other,0
80,I wish to complain about a Fashion advertisement that intrusive public space advertising. This was seen recently and requires investigation.,placement,3
81,I wish to complain about a Real Estate advertisement that inappropriate timing during sensitive content. This was seen recently and requires investigation.,placement,3
82,I wish to complain about a Healthcare advertisement that general advertising standards. This was seen recently and requires investigation.,other,0
83,I wish to complain about a Retail advertisement that technical implementation issues. This was seen recently and requires investigation.,other,0
84,I wish to complain about a Retail advertisement that inappropriate targeting of minors. This was seen recently and requires investigation.,children issues,4
85,I wish to complain about a Education advertisement that inappropriate positioning near schools. This was seen recently and requires investigation.,placement,3
86,I wish to complain about a Insurance advertisement that exploitation of children's inexperience. This was seen recently and requires investigation.,children issues,4
87,I wish to complain about a Home & Garden advertisement that pressure on parents through children. This was seen recently and requires investigation.,children issues,4
88,I wish to complain about a Sports & Fitness advertisement that promotion of unhealthy lifestyle choices. This was seen recently and requires investigation.,social responsibility,2
89,I wish to complain about a Home & Garden advertisement that general advertising standards. This was seen recently and requires investigation.,other,0
90,I wish to complain about a E-commerce advertisement that encouragement of gambling behavior. This was seen recently and requires investigation.,social responsibility,2
91,I wish to complain about a Healthcare advertisement that intrusive public space advertising. This was seen recently and requires investigation.,placement,3
92,I wish to complain about a Electronics advertisement that misleading pricing or savings claims. This was seen recently and requires investigation.,misleading,1
93,I wish to complain about a Automotive advertisement that unrealistic expectations for children. This was seen recently and requires investigation.,children issues,4
94,I wish to complain about a Travel advertisement that hidden terms and conditions. This was seen recently and requires investigation.,misleading,1
95,I wish to complain about a Education advertisement that direct exhortation to children. This was seen recently and requires investigation.,children issues,4
96,I wish to complain about a Education advertisement that inappropriate use of serious issues. This was seen recently and requires investigation.,taste and decency,5
97,I wish to complain about a Cosmetics advertisement that misleading qualification or certification claims. This was seen recently and requires investigation.,misleading,1
98,I wish to complain about a Retail advertisement that hidden terms and conditions. This was seen recently and requires investigation.,misleading,1
99,I wish to complain about a Sports & Fitness advertisement that discriminatory content. This was seen recently and requires investigation.,taste and decency,5
100,I wish to complain about a Healthcare advertisement that encouragement of gambling behavior. This was seen recently and requires investigation.,social responsibility,2
101,I wish to complain about a Electronics advertisement that unrealistic expectations for children. This was seen recently and requires investigation.,children issues,4
102,I wish to complain about a Entertainment advertisement that inappropriate product promotion to children. This was seen recently and requires investigation.,children issues,4
103,I wish to complain about a Automotive advertisement that environmental irresponsibility. This was seen recently and requires investigation.,social responsibility,2
104,I wish to complain about a Financial Services advertisement that privacy concerns. This was seen recently and requires investigation.,other,0
105,I wish to complain about a Social Media advertisement that promotion of unhealthy lifestyle choices. This was seen recently and requires investigation.,social responsibility,2
106,I wish to complain about a Retail advertisement that misleading comparison with competitors. This was seen recently and requires investigation.,misleading,1
107,I wish to complain about a FMCG advertisement that environmental irresponsibility. This was seen recently and requires investigation.,social responsibility,2
108,I wish to complain about a FMCG advertisement that intrusive public space advertising. This was seen recently and requires investigation.,placement,3
109,I wish to complain about a E-commerce advertisement that inappropriate product promotion to children. This was seen recently and requires investigation.,children issues,4
110,I wish to complain about a Education advertisement that excessive frequency in residential areas. This was seen recently and requires investigation.,placement,3
111,I wish to complain about a Electronics advertisement that inappropriate sexual content. This was seen recently and requires investigation.,taste and decency,5
112,I wish to complain about a Travel advertisement that unverified testimonials. This was seen recently and requires investigation.,misleading,1
113,I wish to complain about a Real Estate advertisement that misleading qualification or certification claims. This was seen recently and requires investigation.,misleading,1
114,I wish to complain about a Fashion advertisement that false environmental claims. This was seen recently and requires investigation.,misleading,1
115,I wish to complain about a Retail advertisement that discriminatory content. This was seen recently and requires investigation.,taste and decency,5
116,I wish to complain about a Healthcare advertisement that placement in children's content. This was seen recently and requires investigation.,placement,3
117,I wish to complain about a Fashion advertisement that pressure on parents through children. This was seen recently and requires investigation.,children issues,4
118,I wish to complain about a Fashion advertisement that placement in children's content. This was seen recently and requires investigation.,placement,3
119,I wish to complain about a E-commerce advertisement that offensive cultural references. This was seen recently and requires investigation.,taste and decency,5
120,I wish to complain about a Automotive advertisement that exploitation of children's inexperience. This was seen recently and requires investigation.,children issues,4
121,I wish to complain about a Healthcare advertisement that encouragement of gambling behavior. This was seen recently and requires investigation.,social responsibility,2
122,I wish to complain about a Real Estate advertisement that distressing imagery. This was seen recently and requires investigation.,taste and decency,5
123,I wish to complain about a Electronics advertisement that discriminatory content. This was seen recently and requires investigation.,taste and decency,5
124,I wish to complain about a Technology advertisement that hidden terms and conditions. This was seen recently and requires investigation.,misleading,1
125,I wish to complain about a Sports & Fitness advertisement that exploitation of vulnerable groups. This was seen recently and requires investigation.,social responsibility,2
126,I wish to complain about a FMCG advertisement that misleading qualification or certification claims. This was seen recently and requires investigation.,misleading,1
127,I wish to complain about a Real Estate advertisement that discriminatory content. This was seen recently and requires investigation.,taste and decency,5
128,I wish to complain about a Automotive advertisement that offensive cultural references. This was seen recently and requires investigation.,taste and decency,5
129,I wish to complain about a Financial Services advertisement that discriminatory content. This was seen recently and requires investigation.,taste and decency,5
130,I wish to complain about a FMCG advertisement that hidden terms and conditions. This was seen recently and requires investigation.,misleading,1
131,I wish to complain about a E-commerce advertisement that trivializing serious issues. This was seen recently and requires investigation.,social responsibility,2
132,I wish to complain about a Food & Beverage advertisement that unrealistic expectations for children. This was seen recently and requires investigation.,children issues,4
133,I wish to complain about a Travel advertisement that intrusive public space advertising. This was seen recently and requires investigation.,placement,3
134,I wish to complain about a Automotive advertisement that inappropriate timing during sensitive content. This was seen recently and requires investigation.,placement,3
135,I wish to complain about a Cosmetics advertisement that environmental irresponsibility. This was seen recently and requires investigation.,social responsibility,2
136,I wish to complain about a E-commerce advertisement that inappropriate product promotion to children. This was seen recently and requires investigation.,children issues,4
137,I wish to complain about a Home & Garden advertisement that inappropriate use of serious issues. This was seen recently and requires investigation.,taste and decency,5
138,I wish to complain about a Electronics advertisement that misleading pricing or savings claims. This was seen recently and requires investigation.,misleading,1
139,I wish to complain about a Automotive advertisement that unrealistic expectations for children. This was seen recently and requires investigation.,children issues,4
140,I wish to complain about a Sports & Fitness advertisement that placement in children's content. This was seen recently and requires investigation.,placement,3
141,I wish to complain about a Financial Services advertisement that hidden terms and conditions. This was seen recently and requires investigation.,misleading,1
142,I wish to complain about a Technology advertisement that unverified testimonials. This was seen recently and requires investigation.,misleading,1
143,I wish to complain about a Social Media advertisement that promotion of harmful stereotypes. This was seen recently and requires investigation.,social responsibility,2
144,I wish to complain about a Cosmetics advertisement that offensive cultural references. This was seen recently and requires investigation.,taste and decency,5
145,I wish to complain about a E-commerce advertisement that promotion of harmful stereotypes. This was seen recently and requires investigation.,social responsibility,2
146,I wish to complain about a Sports & Fitness advertisement that accessibility concerns. This was seen recently and requires investigation.,other,0
147,I wish to complain about a E-commerce advertisement that hidden terms and conditions. This was seen recently and requires investigation.,misleading,1
148,I wish to complain about a Cosmetics advertisement that harmful gender stereotypes. This was seen recently and requires investigation.,taste and decency,5
149,I wish to complain about a FMCG advertisement that promotion of unhealthy lifestyle choices. This was seen recently and requires investigation.,social responsibility,2
150,I wish to complain about a Social Media advertisement that false scarcity tactics. This was seen recently and requires investigation.,misleading,1
151,I wish to complain about a Fashion advertisement that harmful gender stereotypes. This was seen recently and requires investigation.,taste and decency,5
152,I wish to complain about a E-commerce advertisement that exploitation of children's inexperience. This was seen recently and requires investigation.,children issues,4
153,I wish to complain about a Telecommunications advertisement that excessive frequency in residential areas. This was seen recently and requires investigation.,placement,3
154,I wish to complain about a Home & Garden advertisement that trivializing serious issues. This was seen recently and requires investigation.,social responsibility,2
155,I wish to complain about a FMCG advertisement that copyright infringement. This was seen recently and requires investigation.,other,0
156,I wish to complain about a E-commerce advertisement that targeting vulnerable audiences. This was seen recently and requires investigation.,placement,3
157,I wish to complain about a Electronics advertisement that exploitation of vulnerable groups. This was seen recently and requires investigation.,social responsibility,2
158,I wish to complain about a Food & Beverage advertisement that direct exhortation to children. This was seen recently and requires investigation.,children issues,4
159,I wish to complain about a Home & Garden advertisement that distressing imagery. This was seen recently and requires investigation.,taste and decency,5
160,I wish to complain about a Education advertisement that privacy concerns. This was seen recently and requires investigation.,other,0
161,I wish to complain about a E-commerce advertisement that misleading pricing or savings claims. This was seen recently and requires investigation.,misleading,1
162,I wish to complain about a Sports & Fitness advertisement that false environmental claims. This was seen recently and requires investigation.,misleading,1
163,I wish to complain about a Insurance advertisement that placement in children's content. This was seen recently and requires investigation.,placement,3
164,I wish to complain about a FMCG advertisement that discriminatory content. This was seen recently and requires investigation.,taste and decency,5
165,I wish to complain about a Social Media advertisement that privacy concerns. This was seen recently and requires investigation.,other,0
166,I wish to complain about a Electronics advertisement that intrusive public space advertising. This was seen recently and requires investigation.,placement,3
167,I wish to complain about a Entertainment advertisement that false environmental claims. This was seen recently and requires investigation.,misleading,1
168,I wish to complain about a Healthcare advertisement that hidden terms and conditions. This was seen recently and requires investigation.,misleading,1
169,I wish to complain about a Social Media advertisement that pressure on parents through children. This was seen recently and requires investigation.,children issues,4
170,I wish to complain about a Financial Services advertisement that exploitation of children's inexperience. This was seen recently and requires investigation.,children issues,4
171,I wish to complain about a Insurance advertisement that exploitation of vulnerable groups. This was seen recently and requires investigation.,social responsibility,2
172,I wish to complain about a Travel advertisement that hidden terms and conditions. This was seen recently and requires investigation.,misleading,1
173,I wish to complain about a FMCG advertisement that exaggerated performance claims. This was seen recently and requires investigation.,misleading,1
174,I wish to complain about a Automotive advertisement that exaggerated performance claims. This was seen recently and requires investigation.,misleading,1
175,I wish to complain about a Social Media advertisement that inappropriate targeting of minors. This was seen recently and requires investigation.,children issues,4
176,I wish to complain about a Education advertisement that misleading pricing or savings claims. This was seen recently and requires investigation.,misleading,1
177,I wish to complain about a Healthcare advertisement that discriminatory content. This was seen recently and requires investigation.,taste and decency,5
178,I wish to complain about a Cosmetics advertisement that harmful gender stereotypes. This was seen recently and requires investigation.,taste and decency,5
179,I wish to complain about a Home & Garden advertisement that direct exhortation to children. This was seen recently and requires investigation.,children issues,4
180,I wish to complain about a Insurance advertisement that false scarcity tactics. This was seen recently and requires investigation.,misleading,1
181,I wish to complain about a Technology advertisement that direct exhortation to children. This was seen recently and requires investigation.,children issues,4
182,I wish to complain about a Insurance advertisement that discriminatory content. This was seen recently and requires investigation.,taste and decency,5
183,I wish to complain about a Automotive advertisement that inappropriate sexual content. This was seen recently and requires investigation.,taste and decency,5
184,I wish to complain about a Food & Beverage advertisement that excessive frequency in residential areas. This was seen recently and requires investigation.,placement,3
185,I wish to complain about a Real Estate advertisement that encouragement of excessive consumption. This was seen recently and requires investigation.,social responsibility,2
186,I wish to complain about a Financial Services advertisement that accessibility concerns. This was seen recently and requires investigation.,other,0
187,I wish to complain about a Fashion advertisement that unsubstantiated health claims. This was seen recently and requires investigation.,misleading,1
188,I wish to complain about a Telecommunications advertisement that unrealistic expectations for children. This was seen recently and requires investigation.,children issues,4
189,I wish to complain about a Technology advertisement that false environmental claims. This was seen recently and requires investigation.,misleading,1
190,I wish to complain about a Real Estate advertisement that false environmental claims. This was seen recently and requires investigation.,misleading,1
191,I wish to complain about a Entertainment advertisement that unsubstantiated health claims. This was seen recently and requires investigation.,misleading,1
192,I wish to complain about a Fashion advertisement that placement in children's content. This was seen recently and requires investigation.,placement,3
193,I wish to complain about a Telecommunications advertisement that false environmental claims. This was seen recently and requires investigation.,misleading,1
194,I wish to complain about a Entertainment advertisement that distressing imagery. This was seen recently and requires investigation.,taste and decency,5
195,I wish to complain about a Travel advertisement that direct exhortation to children. This was seen recently and requires investigation.,children issues,4
196,I wish to complain about a Home & Garden advertisement that offensive cultural references. This was seen recently and requires investigation.,taste and decency,5
197,I wish to complain about a Entertainment advertisement that copyright infringement. This was seen recently and requires investigation.,other,0
198,I wish to complain about a Entertainment advertisement that excessive frequency in residential areas. This was seen recently and requires investigation.,placement,3
199,I wish to complain about a Retail advertisement that inappropriate use of serious issues. This was seen recently and requires investigation.,taste and decency,5
200,I wish to complain about a Travel advertisement that offensive cultural references. This was seen recently and requires investigation.,taste and decency,5
201,I wish to complain about a Telecommunications advertisement that false scarcity tactics. This was seen recently and requires investigation.,misleading,1
202,I wish to complain about a Social Media advertisement that inappropriate product promotion to children. This was seen recently and requires investigation.,children issues,4
203,I wish to complain about a Travel advertisement that accessibility concerns. This was seen recently and requires investigation.,other,0
204,I wish to complain about a FMCG advertisement that placement in children's content. This was seen recently and requires investigation.,placement,3
205,I wish to complain about a E-commerce advertisement that intrusive public space advertising. This was seen recently and requires investigation.,placement,3
206,I wish to complain about a Sports & Fitness advertisement that exploitation of vulnerable groups. This was seen recently and requires investigation.,social responsibility,2
207,I wish to complain about a Sports & Fitness advertisement that false scarcity tactics. This was seen recently and requires investigation.,misleading,1
208,I wish to complain about a Automotive advertisement that distressing imagery. This was seen recently and requires investigation.,taste and decency,5
209,I wish to complain about a Healthcare advertisement that misleading qualification or certification claims. This was seen recently and requires investigation.,misleading,1
210,I wish to complain about a E-commerce advertisement that harmful gender stereotypes. This was seen recently and requires investigation.,taste and decency,5
211,I wish to complain about a Entertainment advertisement that pressure on parents through children. This was seen recently and requires investigation.,children issues,4
212,I wish to complain about a E-commerce advertisement that exaggerated performance claims. This was seen recently and requires investigation.,misleading,1
213,I wish to complain about a E-commerce advertisement that normalization of dangerous behavior. This was seen recently and requires investigation.,social responsibility,2
214,I wish to complain about a Education advertisement that offensive cultural references. This was seen recently and requires investigation.,taste and decency,5
215,I wish to complain about a Social Media advertisement that inappropriate targeting of minors. This was seen recently and requires investigation.,children issues,4
216,I wish to complain about a Entertainment advertisement that targeting vulnerable audiences. This was seen recently and requires investigation.,placement,3
217,I wish to complain about a Fashion advertisement that inappropriate positioning near schools. This was seen recently and requires investigation.,placement,3
218,I wish to complain about a Real Estate advertisement that unverified testimonials. This was seen recently and requires investigation.,misleading,1
219,I wish to complain about a Social Media advertisement that inappropriate use of serious issues. This was seen recently and requires investigation.,taste and decency,5
220,I wish to complain about a Financial Services advertisement that exploitation of vulnerable groups. This was seen recently and requires investigation.,social responsibility,2
221,I wish to complain about a Real Estate advertisement that inappropriate product promotion to children. This was seen recently and requires investigation.,children issues,4
222,I wish to complain about a Fashion advertisement that inappropriate sexual content. This was seen recently and requires investigation.,taste and decency,5
223,I wish to complain about a Telecommunications advertisement that inappropriate timing during sensitive content. This was seen recently and requires investigation.,placement,3
224,I wish to complain about a Electronics advertisement that encouragement of excessive consumption. This was seen recently and requires investigation.,social responsibility,2
225,I wish to complain about a Technology advertisement that sound level issues. This was seen recently and requires investigation.,other,0
226,I wish to complain about a Cosmetics advertisement that trivializing serious issues. This was seen recently and requires investigation.,social responsibility,2
227,I wish to complain about a Cosmetics advertisement that discriminatory content. This was seen recently and requires investigation.,taste and decency,5
228,I wish to complain about a Technology advertisement that placement in children's content. This was seen recently and requires investigation.,placement,3
229,I wish to complain about a Financial Services advertisement that technical implementation issues. This was seen recently and requires investigation.,other,0
230,I wish to complain about a E-commerce advertisement that accessibility concerns. This was seen recently and requires investigation.,other,0
231,I wish to complain about a Telecommunications advertisement that normalization of dangerous behavior. This was seen recently and requires investigation.,social responsibility,2
232,I wish to complain about a Insurance advertisement that inappropriate timing during sensitive content. This was seen recently and requires investigation.,placement,3
233,I wish to complain about a Travel advertisement that normalization of dangerous behavior. This was seen recently and requires investigation.,social responsibility,2
234,I wish to complain about a FMCG advertisement that unsubstantiated health claims. This was seen recently and requires investigation.,misleading,1
235,I wish to complain about a Food & Beverage advertisement that encouragement of gambling behavior. This was seen recently and requires investigation.,social responsibility,2
236,I wish to complain about a Food & Beverage advertisement that inappropriate sexual content. This was seen recently and requires investigation.,taste and decency,5
237,I wish to complain about a Insurance advertisement that discriminatory content. This was seen recently and requires investigation.,taste and decency,5
238,I wish to complain about a Electronics advertisement that excessive frequency in residential areas. This was seen recently and requires investigation.,placement,3
239,I wish to complain about a Sports & Fitness advertisement that privacy concerns. This was seen recently and requires investigation.,other,0
240,I wish to complain about a Technology advertisement that unsubstantiated health claims. This was seen recently and requires investigation.,misleading,1
241,I wish to complain about a Fashion advertisement that inappropriate targeting of minors. This was seen recently and requires investigation.,children issues,4
242,I wish to complain about a Cosmetics advertisement that privacy concerns. This was seen recently and requires investigation.,other,0
243,I wish to complain about a Education advertisement that inappropriate targeting of minors. This was seen recently and requires investigation.,children issues,4
244,I wish to complain about a Sports & Fitness advertisement that exploitation of children's inexperience. This was seen recently and requires investigation.,children issues,4
245,I wish to complain about a Food & Beverage advertisement that normalization of dangerous behavior. This was seen recently and requires investigation.,social responsibility,2
246,I wish to complain about a Home & Garden advertisement that targeting vulnerable audiences. This was seen recently and requires investigation.,placement,3
247,I wish to complain about a Cosmetics advertisement that normalization of dangerous behavior. This was seen recently and requires investigation.,social responsibility,2
248,I wish to complain about a Automotive advertisement that placement in children's content. This was seen recently and requires investigation.,placement,3
249,I wish to complain about a Retail advertisement that inappropriate use of serious issues. This was seen recently and requires investigation.,taste and decency,5
250,I wish to complain about a Electronics advertisement that inappropriate use of serious issues. This was seen recently and requires investigation.,taste and decency,5
251,I wish to complain about a Automotive advertisement that discriminatory content. This was seen recently and requires investigation.,taste and decency,5
252,I wish to complain about a Home & Garden advertisement that unverified testimonials. This was seen recently and requires investigation.,misleading,1
253,I wish to complain about a Retail advertisement that environmental irresponsibility. This was seen recently and requires investigation.,social responsibility,2
254,I wish to complain about a Insurance advertisement that placement in children's content. This was seen recently and requires investigation.,placement,3
255,I wish to complain about a E-commerce advertisement that inappropriate positioning near schools. This was seen recently and requires investigation.,placement,3
256,I wish to complain about a Telecommunications advertisement that promotion of unhealthy lifestyle choices. This was seen recently and requires investigation.,social responsibility,2
257,I wish to complain about a Retail advertisement that exploitation of vulnerable groups. This was seen recently and requires investigation.,social responsibility,2
258,I wish to complain about a Fashion advertisement that exploitation of children's inexperience. This was seen recently and requires investigation.,children issues,4
259,I wish to complain about a Education advertisement that exploitation of vulnerable groups. This was seen recently and requires investigation.,social responsibility,2
260,I wish to complain about a Home & Garden advertisement that inappropriate positioning near schools. This was seen recently and requires investigation.,placement,3
261,I wish to complain about a Telecommunications advertisement that encouragement of gambling behavior. This was seen recently and requires investigation.,social responsibility,2
262,I wish to complain about a FMCG advertisement that harmful gender stereotypes. This was seen recently and requires investigation.,taste and decency,5
263,I wish to complain about a Travel advertisement that general advertising standards. This was seen recently and requires investigation.,other,0
264,I wish to complain about a Social Media advertisement that privacy concerns. This was seen recently and requires investigation.,other,0
265,I wish to complain about a Home & Garden advertisement that placement in children's content. This was seen recently and requires investigation.,placement,3
266,I wish to complain about a Travel advertisement that intrusive public space advertising. This was seen recently and requires investigation.,placement,3
267,I wish to complain about a Education advertisement that targeting vulnerable audiences. This was seen recently and requires investigation.,placement,3
268,I wish to complain about a Real Estate advertisement that offensive cultural references. This was seen recently and requires investigation.,taste and decency,5
269,I wish to complain about a Food & Beverage advertisement that inappropriate sexual content. This was seen recently and requires investigation.,taste and decency,5
270,I wish to complain about a Cosmetics advertisement that inappropriate use of serious issues. This was seen recently and requires investigation.,taste and decency,5
271,I wish to complain about a Home & Garden advertisement that false environmental claims. This was seen recently and requires investigation.,misleading,1
272,I wish to complain about a Real Estate advertisement that false environmental claims. This was seen recently and requires investigation.,misleading,1
273,I wish to complain about a Cosmetics advertisement that distressing imagery. This was seen recently and requires investigation.,taste and decency,5
274,I wish to complain about a Food & Beverage advertisement that targeting vulnerable audiences. This was seen recently and requires investigation.,placement,3
275,I wish to complain about a Retail advertisement that misleading qualification or certification claims. This was seen recently and requires investigation.,misleading,1
276,I wish to complain about a Cosmetics advertisement that promotion of unhealthy lifestyle choices. This was seen recently and requires investigation.,social responsibility,2
277,I wish to complain about a Education advertisement that misleading pricing or savings claims. This was seen recently and requires investigation.,misleading,1
278,I wish to complain about a Technology advertisement that inappropriate sexual content. This was seen recently and requires investigation.,taste and decency,5
